hh_id,psu,strata,weight,d_cm,d_nutr,d_satt,d_educ,d_elct,d_sani,d_wtr,d_hsg,d_ckfl,d_asst,sex_Male,sex_Female,agec7_0-4,agec7_5-9,agec7_10-14,agec7_15-17,agec7_18-59,agec7_60+,hhsize,region,area
mostly2d-6250-4921-ac74-d75a00683019,1,Chitipa Rural,0.43260711431503296,0,1,0,0,1,0,0,1,1,1,2,1,2,0,0,0,2,0,3,Chitipa,rural
mostlyc4-a4d2-4270-b847-a64b5d8a3e8a,1,Chitipa Rural,0.43260711431503296,0,0,0,0,0,0,1,0,1,1,4,3,1,1,1,0,3,0,7,Chitipa,rural
mostly00-627a-4b86-8862-04590c58771c,1,Chitipa Rural,0.43260711431503296,0,0,0,0,1,0,0,1,1,0,3,2,2,0,0,0,3,0,5,Chitipa,rural
mostly95-4807-486b-b2fb-2a7dbfb326a3,1,Chitipa Rural,0.43260711431503296,0,0,0,0,1,0,1,0,1,0,7,4,1,0,2,2,4,0,11,Chitipa,rural
mostly1b-77b4-43f2-9f81-5f73e5f177f9,1,Chitipa Rural,0.43260711431503296,0,0,0,0,1,0,0,0,1,0,4,2,0,0,1,0,4,0,6,Chitipa,rural
mostly6f-82be-4f58-bee1-f81d3f60e659,1,Chitipa Rural,0.43260711431503296,0,0,0,1,1,0,0,1,1,1,3,3,0,1,2,0,2,0,6,Chitipa,rural
mostly1b-c130-460e-b190-e7fa430bd3ba,1,Chitipa Rural,0.43260711431503296,0,0,0,0,1,0,1,0,1,0,4,3,1,1,2,0,3,0,7,Chitipa,rural
mostly57-ed18-4266-8275-d08fbafaadbc,1,Chitipa Rural,0.43260711431503296,0,0,0,1,0,0,1,1,1,0,2,1,0,0,1,1,1,0,3,Chitipa,rural
mostlye9-ddbe-498a-8f36-c5004bdce63a,1,Chitipa Rural,0.43260711431503296,0,0,0,0,1,1,1,1,1,1,3,4,3,0,2,0,6,0,9,Chitipa,rural
mostly94-8e2a-4af6-a3cc-62d79a1e0956,1,Chitipa Rural,0.43260711431503296,0,0,0,1,1,0,1,1,1,1,1,1,0,0,1,0,0,2,2,Chitipa,rural
