hh_id,psu,strata,weight,d_cm,d_nutr,d_satt,d_educ,d_elct,d_sani,d_wtr,d_hsg,d_ckfl,d_asst,sex_Male,sex_Female,agec7_0-4,agec7_5-9,agec7_10-14,agec7_15-17,agec7_18-59,agec7_60+,hhsize,region,area
101,1,Chitipa Rural,0.4326071,0.0,,0.0,0.0,1.0,0.0,0.0,1,1.0,1,2,2,1,0,0,1,2,0,4,Chitipa,rural
102,1,Chitipa Rural,0.4326071,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1,1.0,0,5,2,1,1,2,0,3,0,7,Chitipa,rural
103,1,Chitipa Rural,0.4326071,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1,1.0,1,1,2,1,1,0,0,1,0,3,Chitipa,rural
104,1,Chitipa Rural,0.4326071,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1.0,0,6,4,1,1,2,2,4,0,10,Chitipa,rural
106,1,Chitipa Rural,0.4326071,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1,1.0,1,3,2,0,1,0,0,2,2,5,Chitipa,rural
107,1,Chitipa Rural,0.4326071,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1.0,0,1,2,0,1,0,0,2,0,3,Chitipa,rural
108,1,Chitipa Rural,0.4326071,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,1.0,0,3,4,2,1,2,0,2,0,7,Chitipa,rural
109,1,Chitipa Rural,0.4326071,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,1.0,0,4,1,0,0,2,0,2,1,5,Chitipa,rural
110,1,Chitipa Rural,0.4326071,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1.0,1,4,1,0,0,1,0,4,0,5,Chitipa,rural
111,1,Chitipa Rural,0.4326071,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1.0,0,7,2,0,1,3,2,3,0,9,Chitipa,rural
112,1,Chitipa Rural,0.4326071,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0,5,4,2,1,3,0,3,0,9,Chitipa,rural
113,1,Chitipa Rural,0.4326071,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1,1.0,0,1,2,1,0,0,0,2,0,3,Chitipa,rural
114,1,Chitipa Rural,0.4326071,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1.0,0,2,3,0,0,2,1,2,0,5,Chitipa,rural
115,1,Chitipa Rural,0.4326071,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1.0,1,1,1,0,0,0,0,2,0,2,Chitipa,rural
116,1,Chitipa Rural,0.4326071,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1,1.0,0,2,2,1,1,0,0,1,1,4,Chitipa,rural
118,1,Chitipa Rural,0.4326071,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0,1.0,0,3,3,1,0,3,1,1,0,6,Chitipa,rural
119,1,Chitipa Rural,0.4326071,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1.0,1,1,3,1,0,0,0,1,2,4,Chitipa,rural
120,1,Chitipa Rural,0.4326071,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1,1.0,0,1,2,0,1,0,0,2,0,3,Chitipa,rural
121,1,Chitipa Rural,0.4326071,0.0,,0.0,0.0,1.0,1.0,0.0,1,1.0,1,3,3,1,1,2,0,2,0,6,Chitipa,rural
122,1,Chitipa Rural,0.4326071,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1.0,0,5,2,1,2,2,0,2,0,7,Chitipa,rural
123,1,Chitipa Rural,0.4326071,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1,1.0,0,1,2,1,0,0,0,2,0,3,Chitipa,rural
124,1,Chitipa Rural,0.4326071,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,1.0,1,3,1,1,1,1,0,1,0,4,Chitipa,rural
201,2,Chitipa Rural,0.29151395,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1.0,0,5,1,1,1,2,0,2,0,6,Chitipa,rural
202,2,Chitipa Rural,0.29151395,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0,1.0,1,3,1,1,1,0,0,2,0,4,Chitipa,rural
203,2,Chitipa Rural,0.29151395,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1,1.0,0,2,3,0,1,0,1,3,0,5,Chitipa,rural
204,2,Chitipa Rural,0.29151395,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,1.0,1,2,4,1,0,3,0,2,0,6,Chitipa,rural
